Country: IESE EMBA BCN 26-1,,,,,,,,,,,,
ESG,Company:Company 3,,,,,,,,,,,
Period: 6,Course: IESE EMBA BCN 26-1,,,,,,,,,,,
             Summary Emissions (kg CO2)        ,,,,,,,,,,,,
 ,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
Suppliers' purchases Parts A and B,"101,760","76,676","121,736","122,685","158,785","83,892",0,0,0,0,0,0
Electricity emissions,"100,039","100,039","138,915","160,625","135,502","154,325",0,0,0,0,0,0
Product Improvements,0,0,0,0,0,0,0,0,0,0,0,0
Shipments,"11,180","8,680","14,700","5,236","5,433","6,386",0,0,0,0,0,0
New Plant Modules,"202,500","202,500","202,500","202,500","202,500","202,500",0,0,0,0,0,0
Thrown Electrocleans,0,0,0,0,0,0,0,0,0,0,0,0
Total,"415,479","387,895","477,852","491,045","502,219","447,103",0,0,0,0,0,0
Solar PV panels,0,0,0,0,0,0,0,0,0,0,0,0
Tree plantation (groups of 80),0,0,0,0,0,0,0,0,0,0,0,0
Green electricity (%),0,0,0,0,0,0,0,0,0,0,0,0
CO2 Credits,0,0,0,0,0,0,0,0,0,0,0,0
Total,"415,479","387,895","477,852","491,045","502,219","447,103",0,0,0,0,0,0
Intensity (kg CO2/Unit Produced),72.97,51.09,36.49,37.09,38.28,29.93,-,-,-,-,-,-
ENV KPI (%),52,70,80,79,79,84,0,0,0,0,0,0
,,,,,,,,,,,,
             Summary Emissions (kg CO2) %        ,,,,,,,,,,,,
 ,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
Suppliers' purchases Parts A and B,24.5%,19.8%,25.5%,25.0%,31.6%,18.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Electricity emissions,24.1%,25.8%,29.1%,32.7%,27.0%,34.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Product Improvements,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Shipping Electrocleans Across Regions,2.7%,2.2%,3.1%,1.1%,1.1%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
New Plant Modules,48.7%,52.2%,42.4%,41.2%,40.3%,45.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Thrown Electrocleans,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
             Emissions intensity (kg CO2 / Electroclean)         ,,,,,,,,,,,,
Period,Company 1,Company 2,Company 3,Company 4,,,,,,,,
6,29.93,29.93,29.93,29.93,,,,,,,,
7,0.00,0.00,0.00,0.00,,,,,,,,
8,0.00,0.00,0.00,0.00,,,,,,,,
9,0.00,0.00,0.00,0.00,,,,,,,,
10,0.00,0.00,0.00,0.00,,,,,,,,
11,0.00,0.00,0.00,0.00,,,,,,,,
12,0.00,0.00,0.00,0.00,,,,,,,,
,,,,,,,,,,,,
             ENV-KPI        ,,,,,,,,,,,,
Period,Company 1,Company 2,Company 3,Company 4,,,,,,,,
6,84,84,84,84,,,,,,,,
7,0,0,0,0,,,,,,,,
8,0,0,0,0,,,,,,,,
9,0,0,0,0,,,,,,,,
10,0,0,0,0,,,,,,,,
11,0,0,0,0,,,,,,,,
12,0,0,0,0,,,,,,,,
,,,,,,,,,,,,
             ESG KPI        ,,,,,,,,,,,,
Period,Company 1,Company 2,Company 3,Company 4,,,,,,,,
6,90.2,90.2,90.2,90.2,,,,,,,,
7,0.0,0.0,0.0,0.0,,,,,,,,
8,0.0,0.0,0.0,0.0,,,,,,,,
9,0.0,0.0,0.0,0.0,,,,,,,,
10,0.0,0.0,0.0,0.0,,,,,,,,
11,0.0,0.0,0.0,0.0,,,,,,,,
12,0.0,0.0,0.0,0.0,,,,,,,,
,,,,,,,,,,,,
             Electricity Offer(kWh)         ,,,,,,,,,,,,
 ,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
Solar Energy,0,0,0,0,0,0,0,0,0,0,0,0
Green Energy,0,0,0,0,0,0,0,0,0,0,0,0
Grid Power,"250,097","250,097","347,288","401,561","338,755","385,814",0,0,0,0,0,0
Total,"250,097","250,097","347,288","401,561","338,755","385,814",0,0,0,0,0,0
,,,,,,,,,,,,
