Country: IESE EMBA BCN 26-1,,,,,
Initial Cash Flow,Company:Company 3,,,,
Period: 6,Course: IESE EMBA BCN 26-1,,,,
                     Initial Cash Flow                ,,,,,
,,,,,
Tax Payments,"$-28,013",,,,
Payments to Suppliers,"$-12,448",,,,
,,,,,
Worker Hiring and Dismissal Expenses,"$-1,100",,,,
Labor Benefits,$0,,,,
,,,,,
Machines Rental & Transfer,$0,,,,
Modules leasing,$0,,,,
Warehouse Rental Expenses,"$-74,400",,,,
ESG,$0,,,,
,,,,,
Interest Paid on Mortgages,"$-21,600",,,,
Interest Paid on Emergency Loan,$0,,,,
Cash Flow from Operations,"$-137,561",,,,
,,,,,
Product Improvements,$0,,,,
Equipment and Modules Purchases,$0,,,,
Sale of PPE,$0,,,,
Cash Flow from Investments,$0,,,,
,,,,,
Mortgage Increases,"$140,000",,,,
Mortgage Principal Payments,$0,,,,
New Shares Issued,$0,,,,
Dividend Payments,$0,,,,
Emergency Loans,$0,,,,
Cash Flow from Financing,"$140,000",,,,
,,,,,
Cash Variation,"$2,439",,,,
Initial cash (at the end of last period),"$53,982",,,,
Final cash (at the start of the first fortnight),"$56,421",,,,
,,,,,
