Country: IESE EMBA BCN 26-1,,,,,
Logistics,Company:Company 3,,,,
Period: 6,Course: IESE EMBA BCN 26-1,,,,
             Transportation Costs        ,,,,,
Type,Units,Cost,Total,,
Subtotal Airplane,0,0.00,0,,
Subtotal Truck,0,0.00,0,,
Train (Center - West),571,13.20,"7,537",,
Train (Center - North),"1,025",18.24,"18,696",,
Train (Center - North),"2,681",14.40,"38,606",,
Subtotal Train,"4,277",15.16,"64,840",,
Total,"4,277",15.16,"64,840",,
,,,,,
             Incoming and Outcoming by Zone        ,,,,,
Zone,Received Units,In transit,Sent Units,Shipping Costs,Warehouse Costs
Center,0,0,"4,277","64,840","38,400"
West,571,0,0,0,"20,000"
North,"3,706",0,0,0,"16,000"
East,0,0,0,0,0
South,0,0,0,0,0
Total,"4,277",0,"4,277","64,840","74,400"
,,,,,
