Country: IESE EMBA BCN 26-1,,,,,
Production Cost,Company:Company 3,,,,
Period: 6,Course: IESE EMBA BCN 26-1,,,,
Section 1,,,,,
Description,Costs,,,,
Cost of Part A Consumed,"$61,962",,,,
Part A Holding and Ordering Cost,"$21,107",,,,
Direct and Indirect Costs,"$3,906",,,,
Value of Assembly A Produced,"$86,975",,,,
,,,,,
Section 1,,,,,
,Part A,$,$ / Part A,,
Initial inventory,"5,894","$17,401",$2.95,,
Inputs,"14,820","$59,040",$3.98,,
Consumption,"16,202","$61,962",$3.82,,
Final inventory,"4,512","$14,480",$3.21,,
,Assembly A,$,$ / Assembly A,,
Initial inventory,"9,292","$42,138",$4.53,,
Production,"16,202","$86,975",$5.37,,
Consumption,"14,440","$67,222",$4.66,,
Final inventory,"11,054","$61,891",$5.60,,
,,,,,
Section 2,,,,,
Description,Costs,,,,
Cost of Piece 1 Consumed,"$9,298",,,,
Cost of Part B Consumed,"$84,884",,,,
Part B Holding and Ordering Cost,"$62,996",,,,
Direct and Indirect Costs,"$12,532",,,,
Value of Assembly B Produced,"$169,710",,,,
,,,,,
Section 2,,,,,
,Piece 1,$,$ / Piece 1,,
Initial inventory,232,"$13,901",$59.92,,
Inputs,53,"$3,180",$60.00,,
Consumption,154,"$9,298",$60.38,,
Final inventory,130,"$7,783",$59.87,,
,Part B,$,$ / Part B,,
Initial inventory,"1,281","$28,195",$22.01,,
Inputs,"2,880","$87,528",$30.39,,
Consumption,"3,102","$84,884",$27.36,,
Final inventory,"1,058","$30,839",$29.15,,
,Assembly B,$,$ / Assembly B,,
Initial inventory,"6,528","$67,979",$10.41,,
Production,"15,514","$169,710",$10.94,,
Consumption,"14,440","$148,706",$10.30,,
Final inventory,"7,602","$88,983",$11.71,,
,,,,,
Section 3,,,,,
Description,Costs,,,,
Cost of Assembly A Consumed,"$67,222",,,,
Assembly A Holding Cost,"$16,414",,,,
Cost of Assembly B Consumed,"$148,706",,,,
Assembly B Holding Cost,"$21,331",,,,
Direct and Indirect Costs,"$48,046",,,,
Value of Assembly C Produced,"$301,718",,,,
,,,,,
Section 3,,,,,
,Assembly A,$,$ / Assembly A,,
Initial inventory,"9,292","$42,138",$4.53,,
Inputs,"16,202","$86,975",$5.37,,
Consumption,"14,440","$67,222",$4.66,,
Final inventory,"11,054","$61,891",$5.60,,
